episode,goal_episode,seed,goal,success,cumulative_reward,episode_length,final_absolute_error,decrease_actions,hold_actions,increase_actions
1,1,10000,-0.8,1,11.058340473193676,22,0.0014839096307502908,12,8,2
2,2,10001,-0.8,1,11.058340473193676,22,0.0014839096307502908,12,8,2
3,3,10002,-0.8,1,11.058340473193676,22,0.0014839096307502908,12,8,2
4,4,10003,-0.8,1,11.058340473193676,22,0.0014839096307502908,12,8,2
5,5,10004,-0.8,1,11.058340473193676,22,0.0014839096307502908,12,8,2
6,1,10005,-0.4,1,15.447119736578315,17,0.0054776890176205795,9,4,4
7,2,10006,-0.4,1,15.447119736578315,17,0.0054776890176205795,9,4,4
8,3,10007,-0.4,1,15.447119736578315,17,0.0054776890176205795,9,4,4
9,4,10008,-0.4,1,15.447119736578315,17,0.0054776890176205795,9,4,4
10,5,10009,-0.4,1,15.447119736578315,17,0.0054776890176205795,9,4,4
11,1,10010,0.4,1,15.579138077207608,17,0.01299763436871565,3,6,8
12,2,10011,0.4,1,15.579138077207608,17,0.01299763436871565,3,6,8
13,3,10012,0.4,1,15.579138077207608,17,0.01299763436871565,3,6,8
14,4,10013,0.4,1,15.579138077207608,17,0.01299763436871565,3,6,8
15,5,10014,0.4,1,15.579138077207608,17,0.01299763436871565,3,6,8
16,1,10015,0.8,1,11.027666729805059,23,0.007083767033902011,2,9,12
17,2,10016,0.8,1,11.027666729805059,23,0.007083767033902011,2,9,12
18,3,10017,0.8,1,11.027666729805059,23,0.007083767033902011,2,9,12
19,4,10018,0.8,1,11.027666729805059,23,0.007083767033902011,2,9,12
20,5,10019,0.8,1,11.027666729805059,23,0.007083767033902011,2,9,12
