episode,goal_episode,seed,goal,success,cumulative_reward,episode_length,final_absolute_error,decrease_actions,hold_actions,increase_actions
1,1,10000,-0.8,1,10.521527701057494,27,0.012328092101017596,10,17,0
2,2,10001,-0.8,1,10.521527701057494,27,0.012328092101017596,10,17,0
3,3,10002,-0.8,1,10.521527701057494,27,0.012328092101017596,10,17,0
4,4,10003,-0.8,1,10.521527701057494,27,0.012328092101017596,10,17,0
5,5,10004,-0.8,1,10.521527701057494,27,0.012328092101017596,10,17,0
6,1,10005,-0.4,1,15.21405668091029,21,0.013217009087764853,5,16,0
7,2,10006,-0.4,1,15.21405668091029,21,0.013217009087764853,5,16,0
8,3,10007,-0.4,1,15.21405668091029,21,0.013217009087764853,5,16,0
9,4,10008,-0.4,1,15.21405668091029,21,0.013217009087764853,5,16,0
10,5,10009,-0.4,1,15.21405668091029,21,0.013217009087764853,5,16,0
11,1,10010,0.4,1,15.211074960418046,21,0.012719840750495037,0,16,5
12,2,10011,0.4,1,15.211074960418046,21,0.012719840750495037,0,16,5
13,3,10012,0.4,1,15.211074960418046,21,0.012719840750495037,0,16,5
14,4,10013,0.4,1,15.211074960418046,21,0.012719840750495037,0,16,5
15,5,10014,0.4,1,15.211074960418046,21,0.012719840750495037,0,16,5
16,1,10015,0.8,1,10.519856926985085,27,0.0105712357298271,0,17,10
17,2,10016,0.8,1,10.519856926985085,27,0.0105712357298271,0,17,10
18,3,10017,0.8,1,10.519856926985085,27,0.0105712357298271,0,17,10
19,4,10018,0.8,1,10.519856926985085,27,0.0105712357298271,0,17,10
20,5,10019,0.8,1,10.519856926985085,27,0.0105712357298271,0,17,10
